game_week,week_day,date,team,opponent,team_xg,opponent_xg,season,game_id,time,team_goals,opponent_goals,fpl_game_week,team_elo,opponent_elo,team_goals_scored_xg_3game_form,team_goals_conceded_xg_3game_form,opponent_goals_scored_xg_3game_form,opponent_goals_conceded_xg_3game_form,team_goals_scored_actual_3game_form,team_goals_conceded_actual_3game_form,opponent_goals_scored_actual_3game_form,opponent_goals_conceded_actual_3game_form,team_goals_scored_xg_5game_form,team_goals_conceded_xg_5game_form,opponent_goals_scored_xg_5game_form,opponent_goals_conceded_xg_5game_form,team_goals_scored_actual_5game_form,team_goals_conceded_actual_5game_form,opponent_goals_scored_actual_5game_form,opponent_goals_conceded_actual_5game_form,team_goals_scored_xg_10game_form,team_goals_conceded_xg_10game_form,opponent_goals_scored_xg_10game_form,opponent_goals_conceded_xg_10game_form,team_goals_scored_actual_10game_form,team_goals_conceded_actual_10game_form,opponent_goals_scored_actual_10game_form,opponent_goals_conceded_actual_10game_form,elodiff,home
8,Sat,14/10/2017,Huddersfield,Swansea City,0.7,1.5,2017-2018,75,15:00,0,2,8,1529.393433,1652.409424,0.4,1.033333333,0.7,1,0.333333333,1.666666667,0.333333333,1,0.6,1.1,0.8,0.98,0.2,1.4,0.6,0.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-123.015991,0
8,Sat,14/10/2017,Stoke City,Manchester City,0.5,3.8,2017-2018,76,15:00,2,7,8,1683.285278,1934.304565,1.3,1.6,2.9,0.533333333,1,2.333333333,4,0,1.28,1.54,2.5,0.56,1.2,2,3.8,0.2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-251.019287,0
8,Sat,14/10/2017,Manchester City,Stoke City,3.8,0.5,2017-2018,76,15:00,7,2,8,1934.304565,1683.285278,2.9,0.533333333,1.3,1.6,4,0,1,2.333333333,2.5,0.56,1.28,1.54,3.8,0.2,1.2,2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,251.019287,1
8,Sat,14/10/2017,Watford,Arsenal,1.6,1,2017-2018,77,17:30,2,1,8,1657.044434,1865.877319,1.033333333,2.3,2,0.7,1.333333333,3,1.333333333,0,0.82,1.66,1.76,1.16,1.2,1.8,1.4,0.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-208.832885,1
8,Sat,14/10/2017,Arsenal,Watford,1,1.6,2017-2018,77,17:30,1,2,8,1865.877319,1657.044434,2,0.7,1.033333333,2.3,1.333333333,0,1.333333333,3,1.76,1.16,0.82,1.66,1.4,0.8,1.2,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,208.832885,0
8,Sun,15/10/2017,Brighton,Everton,1,1.5,2017-2018,78,13:30,1,1,8,1605.867554,1730.708862,0.766666667,1.7,1.4,1.2,0.666666667,1.333333333,0.666666667,2,0.76,1.28,1.1,1.28,1,1,0.4,2.2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-124.841308,1
8,Sun,15/10/2017,Everton,Brighton,1.5,1,2017-2018,78,13:30,1,1,8,1730.708862,1605.867554,1.4,1.2,0.766666667,1.7,0.666666667,2,0.666666667,1.333333333,1.1,1.28,0.76,1.28,0.4,2.2,1,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,124.841308,0
8,Sun,15/10/2017,Newcastle Utd,Southampton,1.2,1.5,2017-2018,79,16:00,2,2,8,1652.75769,1687.334229,1.266666667,1,1.133333333,1.866666667,1,1,0.666666667,1,1.42,0.96,0.88,1.54,1.4,0.6,0.4,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-34.576539,0
8,Sun,15/10/2017,Southampton,Newcastle Utd,1.5,1.2,2017-2018,79,16:00,2,2,8,1687.334229,1652.75769,1.133333333,1.866666667,1.266666667,1,0.666666667,1,1,1,0.88,1.54,1.42,0.96,0.4,1,1.4,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,34.576539,1
8,Mon,16/10/2017,Leicester City,West Brom,1.3,0.2,2017-2018,80,20:00,1,1,8,1715.668213,1656.524536,1.566666667,1.266666667,1.166666667,1.3,1,1.333333333,0.666666667,1.333333333,1.4,1.48,1.06,1.12,0.8,1.6,0.8,1.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,59.143677,1
